,专用设备制造业私营工业企业主营业务税金及附加,交通运输设备制造业私营工业企业主营业务税金及附加,仪器仪表及文化办公用机械制造业私营工业企业主营业务税金及附加,其他矿采选业私营工业企业主营业务税金及附加,其它制造业私营工业企业主营业务税金及附加,化学原料及化学制品制造业私营工业企业主营业务税金及附加,化学纤维制造业私营工业企业主营业务税金及附加,医药制造业私营工业企业主营业务税金及附加,印刷业、记录媒介的复制私营工业企业主营业务税金及附加,塑料制品业私营工业企业主营业务税金及附加,家具制造业私营工业企业主营业务税金及附加,文教体育用品制造业私营工业企业主营业务税金及附加,普通机械制造业私营工业企业主营业务税金及附加,有色金属冶炼及压延加工业私营工业企业主营业务税金及附加,有色金属矿采选业私营工业企业主营业务税金及附加,服装及其他纤维制品制造业私营工业企业主营业务税金及附加,木材加工及竹、藤、棕、草制品业私营工业企业主营业务税金及附加,木材及竹材采运业私营工业企业主营业务税金及附加,橡胶制品业私营工业企业主营业务税金及附加,烟草加工业私营工业企业主营业务税金及附加,煤气生产和供应业私营工业企业主营业务税金及附加,煤炭采选业私营工业企业主营业务税金及附加,电力、蒸汽、热水的生产和供应业私营工业企业主营业务税金及附加,电子及通信设备制造业私营工业企业主营业务税金及附加,电气机械及器材制造业私营工业企业主营业务税金及附加,皮革、毛皮、羽绒及其制品业私营工业企业主营业务税金及附加,石油加工及炼焦业私营工业企业主营业务税金及附加,石油和天然气开采业私营工业企业主营业务税金及附加,私营工业企业主营业务税金及附加,纺织业私营工业企业主营业务税金及附加,自来水的生产和供应业私营工业企业主营业务税金及附加,造纸及纸制品业私营工业企业主营业务税金及附加,金属制品业私营工业企业主营业务税金及附加,非金属矿物制造业私营工业企业主营业务税金及附加,非金属矿采选业私营工业企业主营业务税金及附加,食品制造业私营工业企业主营业务税金及附加,食品加工业私营工业企业主营业务税金及附加,饮料制造业私营工业企业主营业务税金及附加,黑色金属冶炼及压延加工业私营工业企业主营业务税金及附加,黑色金属矿采选业私营工业企业主营业务税金及附加
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
