,交通运输、仓储和邮政业外商投资企业外方注册资本,住宿和餐饮业外商投资企业外方注册资本,信息传输、计算机服务和软件业外商投资企业外方注册资本,其他外商投资企业外方注册资本,农、林、牧、渔业外商投资企业外方注册资本,制造业外商投资企业外方注册资本,卫生、社会保障和社会福利业外商投资企业外方注册资本,外商投资企业外方注册资本,居民服务和其他服务业外商投资企业外方注册资本,建筑业外商投资企业外方注册资本,房地产业外商投资企业外方注册资本,批发和零售业外商投资企业外方注册资本,教育外商投资企业外方注册资本,文化、体育和娱乐业外商投资企业外方注册资本,水利、环境和公共设施管理业外商投资企业外方注册资本,电力、燃气及水的生产和供应业外商投资企业外方注册资本,科学研究、技术服务和地质勘查业外商投资企业外方注册资本,租赁和商务服务业外商投资企业外方注册资本,采矿业外商投资企业外方注册资本,金融业外商投资企业外方注册资本
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
