,专用设备制造业规模以上工业企业固定资产合计,交通运输设备制造业规模以上工业企业固定资产合计,仪器仪表及文化办公用机械制造业规模以上工业企业固定资产合计,其他矿采选业规模以上工业企业固定资产合计,其它制造业规模以上工业企业固定资产合计,化学原料及化学制品制造业规模以上工业企业固定资产合计,化学纤维制造业规模以上工业企业固定资产合计,医药制造业规模以上工业企业固定资产合计,印刷业、记录媒介的复制规模以上工业企业固定资产合计,塑料制品业规模以上工业企业固定资产合计,家具制造业规模以上工业企业固定资产合计,文教体育用品制造业规模以上工业企业固定资产合计,普通机械制造业规模以上工业企业固定资产合计,有色金属冶炼及压延加工业规模以上工业企业固定资产合计,有色金属矿采选业规模以上工业企业固定资产合计,服装及其他纤维制品制造业规模以上工业企业固定资产合计,木材加工及竹、藤、棕、草制品业规模以上工业企业固定资产合计,木材及竹材采运业规模以上工业企业固定资产合计,橡胶制品业规模以上工业企业固定资产合计,烟草加工业规模以上工业企业固定资产合计,煤气生产和供应业规模以上工业企业固定资产合计,煤炭采选业规模以上工业企业固定资产合计,电力、蒸汽、热水的生产和供应业规模以上工业企业固定资产合计,电子及通信设备制造业规模以上工业企业固定资产合计,电气机械及器材制造业规模以上工业企业固定资产合计,皮革、毛皮、羽绒及其制品业规模以上工业企业固定资产合计,石油加工及炼焦业规模以上工业企业固定资产合计,石油和天然气开采业规模以上工业企业固定资产合计,纺织业规模以上工业企业固定资产合计,自来水的生产和供应业规模以上工业企业固定资产合计,规模以上工业企业固定资产合计,造纸及纸制品业规模以上工业企业固定资产合计,金属制品业规模以上工业企业固定资产合计,非金属矿物制造业规模以上工业企业固定资产合计,非金属矿采选业规模以上工业企业固定资产合计,食品制造业规模以上工业企业固定资产合计,食品加工业规模以上工业企业固定资产合计,饮料制造业规模以上工业企业固定资产合计,黑色金属冶炼及压延加工业规模以上工业企业固定资产合计,黑色金属矿采选业规模以上工业企业固定资产合计
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
