,专用设备制造业规模以上工业企业应收帐款净额,交通运输设备制造业规模以上工业企业应收帐款净额,仪器仪表及文化办公用机械制造业规模以上工业企业应收帐款净额,其他矿采选业规模以上工业企业应收帐款净额,其它制造业规模以上工业企业应收帐款净额,化学原料及化学制品制造业规模以上工业企业应收帐款净额,化学纤维制造业规模以上工业企业应收帐款净额,医药制造业规模以上工业企业应收帐款净额,印刷业、记录媒介的复制规模以上工业企业应收帐款净额,塑料制品业规模以上工业企业应收帐款净额,家具制造业规模以上工业企业应收帐款净额,文教体育用品制造业规模以上工业企业应收帐款净额,普通机械制造业规模以上工业企业应收帐款净额,有色金属冶炼及压延加工业规模以上工业企业应收帐款净额,有色金属矿采选业规模以上工业企业应收帐款净额,服装及其他纤维制品制造业规模以上工业企业应收帐款净额,木材加工及竹、藤、棕、草制品业规模以上工业企业应收帐款净额,木材及竹材采运业规模以上工业企业应收帐款净额,橡胶制品业规模以上工业企业应收帐款净额,烟草加工业规模以上工业企业应收帐款净额,煤气生产和供应业规模以上工业企业应收帐款净额,煤炭采选业规模以上工业企业应收帐款净额,电力、蒸汽、热水的生产和供应业规模以上工业企业应收帐款净额,电子及通信设备制造业规模以上工业企业应收帐款净额,电气机械及器材制造业规模以上工业企业应收帐款净额,皮革、毛皮、羽绒及其制品业规模以上工业企业应收帐款净额,石油加工及炼焦业规模以上工业企业应收帐款净额,石油和天然气开采业规模以上工业企业应收帐款净额,纺织业规模以上工业企业应收帐款净额,自来水的生产和供应业规模以上工业企业应收帐款净额,规模以上工业企业应收帐款净额,造纸及纸制品业规模以上工业企业应收帐款净额,金属制品业规模以上工业企业应收帐款净额,非金属矿物制造业规模以上工业企业应收帐款净额,非金属矿采选业规模以上工业企业应收帐款净额,食品制造业规模以上工业企业应收帐款净额,食品加工业规模以上工业企业应收帐款净额,饮料制造业规模以上工业企业应收帐款净额,黑色金属冶炼及压延加工业规模以上工业企业应收帐款净额,黑色金属矿采选业规模以上工业企业应收帐款净额
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
