,专用设备制造业私营工业企业应收帐款净额,交通运输设备制造业私营工业企业应收帐款净额,仪器仪表及文化、办公用机械制造业私营工业企业应收帐款净额,其他采矿业私营工业企业应收帐款净额,农副食品加工业私营工业企业应收帐款净额,化学原料及化学制品制造业私营工业企业应收帐款净额,化学纤维制造业私营工业企业应收帐款净额,医药制造业私营工业企业应收帐款净额,印刷业和记录媒介的复制私营工业企业应收帐款净额,塑料制品业私营工业企业应收帐款净额,家具制造业私营工业企业应收帐款净额,工艺品及其他制造业私营工业企业应收帐款净额,废弃资源和废旧材料回收加工业私营工业企业应收帐款净额,文教体育用品制造业私营工业企业应收帐款净额,有色金属冶炼及压延加工业私营工业企业应收帐款净额,有色金属矿采选业私营工业企业应收帐款净额,木材加工及木、竹、藤、棕、草制品业私营工业企业应收帐款净额,橡胶制品业私营工业企业应收帐款净额,水的生产和供应业私营工业企业应收帐款净额,烟草制品业私营工业企业应收帐款净额,煤炭开采和洗选业私营工业企业应收帐款净额,燃气生产和供应业私营工业企业应收帐款净额,电力、热力的生产和供应业私营工业企业应收帐款净额,电气机械及器材制造业私营工业企业应收帐款净额,皮革、毛皮、羽毛(绒)及其制品业私营工业企业应收帐款净额,石油加工、炼焦及核燃料加工业私营工业企业应收帐款净额,石油和天然气开采业私营工业企业应收帐款净额,私营工业企业应收帐款净额,纺织业私营工业企业应收帐款净额,纺织服装、鞋、帽制造业私营工业企业应收帐款净额,通信设备、计算机及其他电子设备制造私营工业企业应收帐款净额,通用设备制造业私营工业企业应收帐款净额,造纸及纸制品业私营工业企业应收帐款净额,金属制品业私营工业企业应收帐款净额,非金属矿物制品业私营工业企业应收帐款净额,非金属矿采选业私营工业企业应收帐款净额,食品制造业私营工业企业应收帐款净额,饮料制造业私营工业企业应收帐款净额,黑色金属冶炼及压延加工业私营工业企业应收帐款净额,黑色金属矿采选业私营工业企业应收帐款净额
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
