,专用设备制造业大中型工业企业管理费用,仪器仪表制造业大中型工业企业管理费用,其他制造业大中型工业企业管理费用,其他采矿业大中型工业企业管理费用,农副食品加工业大中型工业企业管理费用,化学原料和化学制品制造业大中型工业企业管理费用,化学纤维制造业大中型工业企业管理费用,医药制造业大中型工业企业管理费用,印刷和记录媒介复制业大中型工业企业管理费用,大中型工业企业管理费用,家具制造业大中型工业企业管理费用,废弃资源综合利用业大中型工业企业管理费用,开采辅助活动大中型工业企业管理费用,文教、工美、体育和娱乐用品制造业大中型工业企业管理费用,有色金属冶炼和压延加工业大中型工业企业管理费用,有色金属矿采选业大中型工业企业管理费用,木材加工和木、竹、藤、棕、草制品业大中型工业企业管理费用,橡胶和塑料制品业大中型工业企业管理费用,水的生产和供应业大中型工业企业管理费用,汽车制造业大中型工业企业管理费用,烟草制品业大中型工业企业管理费用,煤炭开采和洗选业大中型工业企业管理费用,燃气生产和供应业大中型工业企业管理费用,电力、热力生产和供应业大中型工业企业管理费用,电气机械和器材制造业大中型工业企业管理费用,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业管理费用,石油加工、炼焦和核燃料加工业大中型工业企业管理费用,石油和天然气开采业大中型工业企业管理费用,纺织业大中型工业企业管理费用,纺织服装、服饰业大中型工业企业管理费用,计算机、通信和其他电子设备制造业大中型工业企业管理费用,通用设备制造业大中型工业企业管理费用,造纸和纸制品业大中型工业企业管理费用,酒、饮料和精制茶制造业大中型工业企业管理费用,金属制品、机械和设备修理业大中型工业企业管理费用,金属制品业大中型工业企业管理费用,铁路、船舶、航空航天和其他运输设备大中型工业企业管理费用,非金属矿物制品业大中型工业企业管理费用,非金属矿采选业大中型工业企业管理费用,食品制造业大中型工业企业管理费用,黑色金属冶炼和压延加工业大中型工业企业管理费用,黑色金属矿采选业大中型工业企业管理费用
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
