,中外合作经营批发业企业所有者权益合计,中外合资经营批发业企业所有者权益合计,其他外商投资批发业企业所有者权益合计,其他批发业企业所有者权益合计,其他有限责任公司批发业企业所有者权益合计,其他港澳台商投资批发业企业所有者权益合计,其他联营批发业企业所有者权益合计,内资批发业企业所有者权益合计,国有与集体联营批发业企业所有者权益合计,国有批发业企业所有者权益合计,国有独资公司批发业企业所有者权益合计,国有联营批发业企业所有者权益合计,外商投资批发业企业所有者权益合计,外商投资股份有限公司批发业企业所有者权益合计,外资批发业企业所有者权益合计,批发业所有者权益合计,有限责任公司批发业企业所有者权益合计,港澳台商合作经营批发业企业所有者权益合计,港澳台商合资经营批发业企业所有者权益合计,港澳台商投资批发业企业所有者权益合计,港澳台商投资股份有限公司批发业企业所有者权益合计,港澳台商独资经营批发业企业所有者权益合计,私营合伙批发业企业所有者权益合计,私营批发业企业所有者权益合计,私营有限责任公司批发业企业所有者权益合计,私营独资批发业企业所有者权益合计,私营股份有限公司批发业企业所有者权益合计,联营批发业企业所有者权益合计,股份合作批发业企业所有者权益合计,股份有限公司批发业企业所有者权益合计,集体批发业企业所有者权益合计,集体联营批发业企业所有者权益合计
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
