,专用设备制造业外商及港澳台商投资工业企业出口交货值,仪器仪表制造业外商及港澳台商投资工业企业出口交货值,其他制造业外商及港澳台商投资工业企业出口交货值,其他采矿业外商及港澳台商投资工业企业出口交货值,农副食品加工业外商及港澳台商投资工业企业出口交货值,化学原料和化学制品制造业外商及港澳台商投资工业企业出口交货值,化学纤维制造业外商及港澳台商投资工业企业出口交货值,医药制造业外商及港澳台商投资工业企业出口交货值,印刷和记录媒介复制业外商及港澳台商投资工业企业出口交货值,外商及港澳台商投资工业企业出口交货值,家具制造业外商及港澳台商投资工业企业出口交货值,废弃资源综合利用业外商及港澳台商投资工业企业出口交货值,开采辅助活动外商及港澳台商投资工业企业出口交货值,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业出口交货值,有色金属冶炼和压延加工业外商及港澳台商投资工业企业出口交货值,有色金属矿采选业外商及港澳台商投资工业企业出口交货值,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业出口交货值,橡胶和塑料制品业外商及港澳台商投资工业企业出口交货值,水的生产和供应业外商及港澳台商投资工业企业出口交货值,汽车制造业外商及港澳台商投资工业企业出口交货值,烟草制品业外商及港澳台商投资工业企业出口交货值,煤炭开采和洗选业外商及港澳台商投资工业企业出口交货值,燃气生产和供应业外商及港澳台商投资工业企业出口交货值,电力、热力生产和供应业外商及港澳台商投资工业企业出口交货值,电气机械和器材制造业外商及港澳台商投资工业企业出口交货值,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业出口交货值,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业出口交货值,石油和天然气开采业外商及港澳台商投资工业企业出口交货值,纺织业外商及港澳台商投资工业企业出口交货值,纺织服装、服饰业外商及港澳台商投资工业企业出口交货值,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业出口交货值,通用设备制造业外商及港澳台商投资工业企业出口交货值,造纸和纸制品业外商及港澳台商投资工业企业出口交货值,酒、饮料和精制茶制造业外商及港澳台商投资工业企业出口交货值,金属制品、机械和设备修理业外商及港澳台商投资工业企业出口交货值,金属制品业外商及港澳台商投资工业企业出口交货值,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业出口交货值,非金属矿物制品业外商及港澳台商投资工业企业出口交货值,非金属矿采选业外商及港澳台商投资工业企业出口交货值,食品制造业外商及港澳台商投资工业企业出口交货值,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业出口交货值,黑色金属矿采选业外商及港澳台商投资工业企业出口交货值
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
