,中外合作经营餐饮业企业主营业务成本,中外合资经营餐饮业企业主营业务成本,其他外商投资餐饮业企业主营业务成本,其他有限责任公司餐饮业企业主营业务成本,其他港澳台商投资餐饮业企业主营业务成本,其他联营餐饮业企业主营业务成本,其他餐饮业企业主营业务成本,其他餐饮服务业主营业务成本,内资餐饮业企业主营业务成本,国有与集体联营餐饮业企业主营业务成本,国有独资公司餐饮业企业主营业务成本,国有联营餐饮业企业主营业务成本,国有餐饮业企业主营业务成本,外商投资股份有限公司餐饮业企业主营业务成本,外商投资餐饮业企业主营业务成本,外资餐饮业企业主营业务成本,快餐服务业主营业务成本,有限责任公司餐饮业企业主营业务成本,正餐服务业主营业务成本,港、澳、台商合作经营餐饮业企业主营业务成本,港、澳、台商合资经营餐饮业企业主营业务成本,港、澳、台商投资股份有限公司餐饮业企业主营业务成本,港、澳、台商投资餐饮业企业主营业务成本,港、澳、台商独资经营餐饮业企业主营业务成本,私营合伙餐饮业企业主营业务成本,私营有限责任公司餐饮业企业主营业务成本,私营独资餐饮业企业主营业务成本,私营股份有限公司餐饮业企业主营业务成本,私营餐饮业企业主营业务成本,联营餐饮业企业主营业务成本,股份合作餐饮业企业主营业务成本,股份有限公司餐饮业企业主营业务成本,集体联营餐饮业企业主营业务成本,集体餐饮业企业主营业务成本,餐饮业企业主营业务成本,饮料及冷饮服务业主营业务成本
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
