,专用设备制造业中型工业企业新产品项目数,交通运输设备制造业中型工业企业新产品项目数,仪器仪表及文化、办公用机械制造业中型工业企业新产品项目数,农副食品加工业中型工业企业新产品项目数,化学原料及化学制品制造业中型工业企业新产品项目数,化学纤维制造业中型工业企业新产品项目数,医药制造业中型工业企业新产品项目数,印刷业和记录媒介的复制中型工业企业新产品项目数,塑料制品业中型工业企业新产品项目数,大中型工业企业新产品项目数,家具制造业中型工业企业新产品项目数,工艺品及其他制造业中型工业企业新产品项目数,文教体育用品制造业中型工业企业新产品项目数,有色金属冶炼及压延加工业中型工业企业新产品项目数,有色金属矿采选业中型工业企业新产品项目数,木材加工及木、竹、藤、棕、草制品业中型工业企业新产品项目数,橡胶制品业中型工业企业新产品项目数,水的生产和供应业中型工业企业新产品项目数,烟草制品业中型工业企业新产品项目数,煤炭开采和洗选业中型工业企业新产品项目数,燃气生产和供应业中型工业企业新产品项目数,电力、热力的生产和供应业中型工业企业新产品项目数,电气机械及器材制造业中型工业企业新产品项目数,皮革、毛皮、羽毛(绒)及其制品业中型工业企业新产品项目数,石油加工、炼焦及核燃料加工业中型工业企业新产品项目数,石油和天然气开采业中型工业企业新产品项目数,纺织业中型工业企业新产品项目数,纺织服装、鞋、帽制造业中型工业企业新产品项目数,通信设备、计算机及其他电子设备制造业中型工业企业新产品项目数,通用设备制造业中型工业企业新产品项目数,造纸及纸制品业中型工业企业新产品项目数,金属制品业中型工业企业新产品项目数,非金属矿物制品业中型工业企业新产品项目数,非金属矿采选业中型工业企业新产品项目数,食品制造业中型工业企业新产品项目数,饮料制造业中型工业企业新产品项目数,黑色金属冶炼及压延加工业中型工业企业新产品项目数,黑色金属矿采选业中型工业企业新产品项目数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,57158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,51405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,51763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,52292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,55953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,57418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,59788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,68633.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,46575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,81033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
