,专业技术服务业固定资产投资(不含农户)自筹资金,专用设备制造业固定资产投资(不含农户)自筹资金,中国共产党机关固定资产投资(不含农户)自筹资金,交通运输、仓储和邮政业固定资产投资(不含农户)自筹资金,交通运输设备制造业固定资产投资(不含农户)自筹资金,人民政协和民主党派固定资产投资(不含农户)自筹资金,仓储业固定资产投资(不含农户)自筹资金,仪器仪表文化办公用机械制造业固定资产投资(不含农户)自筹资金,住宿业固定资产投资(不含农户)自筹资金,住宿和餐饮业固定资产投资(不含农户)自筹资金,体育固定资产投资(不含农户)自筹资金,保险业固定资产投资(不含农户)自筹资金,信息传输、计算机服务和软件业固定资产投资(不含农户)自筹资金,公共管理和社会组织固定资产投资(不含农户)自筹资金,公共设施管理业固定资产投资(不含农户)自筹资金,其他建筑业固定资产投资(不含农户)自筹资金,其他服务业固定资产投资(不含农户)自筹资金,其他采矿业固定资产投资(不含农户)自筹资金,其他金融活动固定资产投资(不含农户)自筹资金,农、林、牧、渔业固定资产投资(不含农户)自筹资金,农、林、牧、渔服务业固定资产投资(不含农户)自筹资金,农业固定资产投资(不含农户)自筹资金,农副食品加工业固定资产投资(不含农户)自筹资金,制造业固定资产投资(不含农户)自筹资金,化学原料及化学制品制造业固定资产投资(不含农户)自筹资金,化学纤维制造业固定资产投资(不含农户)自筹资金,医药制造业固定资产投资(不含农户)自筹资金,卫生、社会保障和社会福利业固定资产投资(不含农户)自筹资金,卫生固定资产投资(不含农户)自筹资金,印刷业和记录媒介的复制固定资产投资(不含农户)自筹资金,商务服务业固定资产投资(不含农户)自筹资金,固定资产投资(不含农户)自筹资金,国家机构固定资产投资(不含农户)自筹资金,国际组织固定资产投资(不含农户)自筹资金,地质勘查业固定资产投资(不含农户)自筹资金,城市公共交通业固定资产投资(不含农户)自筹资金,基层群众自治组织固定资产投资(不含农户)自筹资金,塑料制品业固定资产投资(不含农户)自筹资金,娱乐业固定资产投资(不含农户)自筹资金,家具制造业固定资产投资(不含农户)自筹资金,居民服务业固定资产投资(不含农户)自筹资金,居民服务和其他服务业固定资产投资(不含农户)自筹资金,工艺品及其他制造业固定资产投资(不含农户)自筹资金,广播、电视、电影和音像业固定资产投资(不含农户)自筹资金,废弃资源和废旧材料回收加工业固定资产投资(不含农户)自筹资金,建筑业固定资产投资(不含农户)自筹资金,建筑安装业固定资产投资(不含农户)自筹资金,建筑装饰业固定资产投资(不含农户)自筹资金,房地产业固定资产投资(不含农户)自筹资金,房屋和土木工程建筑业固定资产投资(不含农户)自筹资金,批发业固定资产投资(不含农户)自筹资金,批发和零售业固定资产投资(不含农户)自筹资金,教育固定资产投资(不含农户)自筹资金,文化、体育和娱乐业固定资产投资(不含农户)自筹资金,文化艺术业固定资产投资(不含农户)自筹资金,文教体育用品制造业固定资产投资(不含农户)自筹资金,新闻出版业固定资产投资(不含农户)自筹资金,有色金属冶炼及压延加工业固定资产投资(不含农户)自筹资金,有色金属矿采选业固定资产投资(不含农户)自筹资金,木材加工及木竹藤棕草制品业固定资产投资(不含农户)自筹资金,林业固定资产投资(不含农户)自筹资金,橡胶制品业固定资产投资(不含农户)自筹资金,水上运输业固定资产投资(不含农户)自筹资金,水利、环境和公共设施管理业固定资产投资(不含农户)自筹资金,水利管理业固定资产投资(不含农户)自筹资金,水的生产和供应业固定资产投资(不含农户)自筹资金,渔业固定资产投资(不含农户)自筹资金,烟草制品业固定资产投资(不含农户)自筹资金,煤炭开采和洗选业固定资产投资(不含农户)自筹资金,燃气生产和供应业固定资产投资(不含农户)自筹资金,环境管理业固定资产投资(不含农户)自筹资金,电信和其他信息传输服务业固定资产投资(不含农户)自筹资金,电力、热力的生产和供应业固定资产投资(不含农户)自筹资金,电力燃气水的生产供应业固定资产投资(不含农户)自筹资金,电气机械及器材制造业固定资产投资(不含农户)自筹资金,畜牧业固定资产投资(不含农户)自筹资金,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)自筹资金,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)自筹资金,石油和天然气开采业固定资产投资(不含农户)自筹资金,研究与试验发展固定资产投资(不含农户)自筹资金,社会保障业固定资产投资(不含农户)自筹资金,社会福利业固定资产投资(不含农户)自筹资金,科学研究、技术服务和地质勘查业固定资产投资(不含农户)自筹资金,科技交流和推广服务业固定资产投资(不含农户)自筹资金,租赁业固定资产投资(不含农户)自筹资金,租赁和商务服务业固定资产投资(不含农户)自筹资金,管道运输业固定资产投资(不含农户)自筹资金,纺织业固定资产投资(不含农户)自筹资金,纺织服装、鞋、帽制造业固定资产投资(不含农户)自筹资金,群众团体、社会团体和宗教组织固定资产投资(不含农户)自筹资金,航空运输业固定资产投资(不含农户)自筹资金,装卸搬运和其他运输服务业固定资产投资(不含农户)自筹资金,计算机服务业固定资产投资(不含农户)自筹资金,证券业固定资产投资(不含农户)自筹资金,软件业固定资产投资(不含农户)自筹资金,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)自筹资金,通用设备制造业固定资产投资(不含农户)自筹资金,造纸及纸制品业固定资产投资(不含农户)自筹资金,道路运输业固定资产投资(不含农户)自筹资金,邮政业固定资产投资(不含农户)自筹资金,采矿业固定资产投资(不含农户)自筹资金,金属制品业固定资产投资(不含农户)自筹资金,金融业固定资产投资(不含农户)自筹资金,铁路运输业固定资产投资(不含农户)自筹资金,银行业固定资产投资(不含农户)自筹资金,零售业固定资产投资(不含农户)自筹资金,非金属矿物制品业固定资产投资(不含农户)自筹资金,非金属矿采选业固定资产投资(不含农户)自筹资金,食品制造业固定资产投资(不含农户)自筹资金,餐饮业固定资产投资(不含农户)自筹资金,饮料制造业固定资产投资(不含农户)自筹资金,黑色金属冶炼及压延加工业固定资产投资(不含农户)自筹资金,黑色金属矿采选业固定资产投资(不含农户)自筹资金
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
