,专业技术服务业集体控股固定资产投资(不含农户),专用设备制造业集体控股固定资产投资(不含农户),中国共产党机关集体控股固定资产投资(不含农户),交通运输、仓储和邮政业集体控股固定资产投资(不含农户),交通运输设备制造业集体控股固定资产投资(不含农户),人民政协和民主党派集体控股固定资产投资(不含农户),仓储业集体控股固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业集体控股固定资产投资(不含农户),住宿业集体控股固定资产投资(不含农户),住宿和餐饮业集体控股固定资产投资(不含农户),体育集体控股固定资产投资(不含农户),保险业集体控股固定资产投资(不含农户),信息传输、计算机服务和软件业集体控股固定资产投资(不含农户),公共管理和社会组织集体控股固定资产投资(不含农户),公共设施管理业集体控股固定资产投资(不含农户),其他建筑业集体控股固定资产投资(不含农户),其他服务业集体控股固定资产投资(不含农户),其他采矿业集体控股固定资产投资(不含农户),其他金融活动集体控股固定资产投资(不含农户),农、林、牧、渔业集体控股固定资产投资(不含农户),农、林、牧、渔服务业集体控股固定资产投资(不含农户),农业集体控股固定资产投资(不含农户),农副食品加工业集体控股固定资产投资(不含农户),制造业集体控股固定资产投资(不含农户),化学原料及化学制品制造业集体控股固定资产投资(不含农户),化学纤维制造业集体控股固定资产投资(不含农户),医药制造业集体控股固定资产投资(不含农户),卫生、社会保障和社会福利业集体控股固定资产投资(不含农户),卫生集体控股固定资产投资(不含农户),印刷业和记录媒介的复制集体控股固定资产投资(不含农户),商务服务业集体控股固定资产投资(不含农户),国家机构集体控股固定资产投资(不含农户),国际组织集体控股固定资产投资(不含农户),地质勘查业集体控股固定资产投资(不含农户),城市公共交通业集体控股固定资产投资(不含农户),基层群众自治组织集体控股固定资产投资(不含农户),塑料制品业集体控股固定资产投资(不含农户),娱乐业集体控股固定资产投资(不含农户),家具制造业集体控股固定资产投资(不含农户),居民服务业集体控股固定资产投资(不含农户),居民服务和其他服务业集体控股固定资产投资(不含农户),工艺品及其他制造业集体控股固定资产投资(不含农户),广播、电视、电影和音像业集体控股固定资产投资(不含农户),废弃资源和废旧材料回收加工业集体控股固定资产投资(不含农户),建筑业集体控股固定资产投资(不含农户),建筑安装业集体控股固定资产投资(不含农户),建筑装饰业集体控股固定资产投资(不含农户),房地产业集体控股固定资产投资(不含农户),房屋和土木工程建筑业集体控股固定资产投资(不含农户),批发业集体控股固定资产投资(不含农户),批发和零售业集体控股固定资产投资(不含农户),教育集体控股固定资产投资(不含农户),文化、体育和娱乐业集体控股固定资产投资(不含农户),文化艺术业集体控股固定资产投资(不含农户),文教体育用品制造业集体控股固定资产投资(不含农户),新闻出版业集体控股固定资产投资(不含农户),有色金属冶炼及压延加工业集体控股固定资产投资(不含农户),有色金属矿采选业集体控股固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业集体控股固定资产投资(不含农户),林业集体控股固定资产投资(不含农户),橡胶制品业集体控股固定资产投资(不含农户),水上运输业集体控股固定资产投资(不含农户),水利、环境和公共设施管理业集体控股固定资产投资(不含农户),水利管理业集体控股固定资产投资(不含农户),水的生产和供应业集体控股固定资产投资(不含农户),渔业集体控股固定资产投资(不含农户),烟草制品业集体控股固定资产投资(不含农户),煤炭开采和洗选业集体控股固定资产投资(不含农户),燃气生产和供应业集体控股固定资产投资(不含农户),环境管理业集体控股固定资产投资(不含农户),电信和其他信息传输服务业集体控股固定资产投资(不含农户),电力、热力的生产和供应业集体控股固定资产投资(不含农户),电力燃气水的生产供应业集体控股固定资产投资(不含农户),电气机械及器材制造业集体控股固定资产投资(不含农户),畜牧业集体控股固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业集体控股固定资产投资(不含农户),石油加工、炼焦及核燃料加工业集体控股固定资产投资(不含农户),石油和天然气开采业集体控股固定资产投资(不含农户),研究与试验发展集体控股固定资产投资(不含农户),社会保障业集体控股固定资产投资(不含农户),社会福利业集体控股固定资产投资(不含农户),科学研究、技术服务和地质勘查业集体控股固定资产投资(不含农户),科技交流和推广服务业集体控股固定资产投资(不含农户),租赁业集体控股固定资产投资(不含农户),租赁和商务服务业集体控股固定资产投资(不含农户),管道运输业集体控股固定资产投资(不含农户),纺织业集体控股固定资产投资(不含农户),纺织服装、鞋、帽制造业集体控股固定资产投资(不含农户),群众团体、社会团体和宗教集体控股固定资产投资(不含农户),航空运输业集体控股固定资产投资(不含农户),装卸搬运和其他运输服务业集体控股固定资产投资(不含农户),计算机服务业集体控股固定资产投资(不含农户),证券业集体控股固定资产投资(不含农户),软件业集体控股固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业集体控股固定资产投资(不含农户),通用设备制造业集体控股固定资产投资(不含农户),造纸及纸制品业集体控股固定资产投资(不含农户),道路运输业集体控股固定资产投资(不含农户),邮政业集体控股固定资产投资(不含农户),采矿业集体控股固定资产投资(不含农户),金属制品业集体控股固定资产投资(不含农户),金融业集体控股固定资产投资(不含农户),铁路运输业集体控股固定资产投资(不含农户),银行业集体控股固定资产投资(不含农户),集体控股固定资产投资(不含农户),零售业集体控股固定资产投资(不含农户),非金属矿物制品业集体控股固定资产投资(不含农户),非金属矿采选业集体控股固定资产投资(不含农户),食品制造业集体控股固定资产投资(不含农户),餐饮业集体控股固定资产投资(不含农户),饮料制造业集体控股固定资产投资(不含农户),黑色金属冶炼及压延加工业集体控股固定资产投资(不含农户),黑色金属矿采选业集体控股固定资产投资(不含农户)
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
